name,population,county,location,lon,lat,department,size
Grant Name,1524,Clatsop,"Gearhart, Oregon",-123.9112502,46.0242745,"Children, Youth and Families",33544
Grant Name,1287,Morrow,"Heppner, Oregon",-119.5577997,45.3531842,Postsecondary Success,16408
Grant Name,9673,Coos,"North Bend, Oregon",-124.2242803,43.4065012,Visual Arts,27944
Grant Name,19283,Washington,"Sherwood, Oregon",-122.8402122,45.3562638,Ford Institute for Community Building,65096
Grant Name,880,Grant,"Prairie City, Oregon",-118.7099477,44.46321349999999,"Children, Youth and Families",91339
Grant Name,1833,Malheur,"Vale, Oregon",-117.2382311,43.9821055,Postsecondary Success,70513
Grant Name,583,Gilliam,"Arlington, Oregon",-120.2008761,45.716796,Visual Arts,54985
Grant Name,9752,Baker,"Baker City, Oregon",-117.8343848,44.7748748,Ford Institute for Community Building,83050
Grant Name,411,Klamath,"Bonanza, Oregon",-121.4061076,42.1987607,"Children, Youth and Families",85601
Grant Name,419,Tillamook,"Wheeler, Oregon",-123.8806879,45.688996,Postsecondary Success,45094
Grant Name,310,Sherman,"Moro, Oregon",-120.731168,45.4840141,Visual Arts,74747
Grant Name,979,Marion,"Aurora, Oregon",-122.7559267,45.2309536,Ford Institute for Community Building,56838
Grant Name,688,Washington,"Gaston, Oregon",-123.1396147,45.4363004,"Children, Youth and Families",69768
Grant Name,2296,Lake,"Lakeview, Oregon",-120.345792,42.18877210000001,Postsecondary Success,76770
Grant Name,975,Polk,"Falls City, Oregon",-123.4359382,44.8662285,Visual Arts,97553
Grant Name,203,Baker,"Sumpter, Oregon",-118.2021633,44.74570689999999,Ford Institute for Community Building,49007
Grant Name,348,Umatilla,"Adams, Oregon",-118.5624734,45.767354,"Children, Youth and Families",51576
Grant Name,2757,Harney,"Burns, Oregon",-119.0541032,43.5862606,Postsecondary Success,90320
Grant Name,216,Marion,"Detroit, Oregon",-122.1497982,44.7340108,Visual Arts,44240
Grant Name,5393,Douglas,"Winston, Oregon",-123.4125724,43.1223383,Ford Institute for Community Building,13413
Grant Name,10032,Polk,"Monmouth, Oregon",-123.2339888,44.8484524,"Children, Youth and Families",18207
Grant Name,2279,Curry,"Gold Beach, Oregon",-124.4217741,42.4073334,Postsecondary Success,51377
Grant Name,2575,Yamhill,"Dayton, Oregon",-123.0835549,45.21638859999999,Visual Arts,13968
Grant Name,3115,Coos,"Bandon, Oregon",-124.408448,43.1189978,Ford Institute for Community Building,84174
Grant Name,3680,Washington,"King City, Oregon",-122.8044946,45.4026959,"Children, Youth and Families",22029
Grant Name,4013,Marion,"Aumsville, Oregon",-122.8709243,44.8409548,Postsecondary Success,42172
Grant Name,192,Grant,"Long Creek, Oregon",-119.1041375,44.714042,Visual Arts,89434
Grant Name,1191,Douglas,"Riddle, Oregon",-123.3642332,42.9509507,Ford Institute for Community Building,19220
Grant Name,3969,Yamhill,"Lafayette, Oregon",-123.1121766,45.2434865,"Children, Youth and Families",58988
Grant Name,5282,Clatsop,"Warrenton, Oregon",-123.9237557,46.1651049,Postsecondary Success,63754
Grant Name,936,Douglas,"Oakland, Oregon",-123.2984101,43.4220625,Visual Arts,44600
Grant Name,240,Lake,"Paisley, Oregon",-120.5460827,42.69376339999999,Ford Institute for Community Building,94933
Grant Name,1221,Lincoln,"Siletz, Oregon",-123.9201129,44.72178359999999,"Children, Youth and Families",64092
Grant Name,1934,Washington,"Banks, Oregon",-123.1144058,45.61777559999999,Postsecondary Success,68898
Grant Name,743,Jefferson,"Metolius, Oregon",-121.1783761,44.58650919999999,Visual Arts,43013
Grant Name,9270,Linn,"Sweet Home, Oregon",-122.7361958,44.3976247,Ford Institute for Community Building,29157
Grant Name,10644,Clackamas,"Sandy, Oregon",-122.2704417,45.3975203,"Children, Youth and Families",43698
Grant Name,37,Grant,"Granite, Oregon",-118.4177241,44.8093131,Postsecondary Success,70590
Grant Name,2472,Deschutes,"Sisters, Oregon",-121.5492119,44.2909491,Visual Arts,77333
Grant Name,1087,Lane,"Lowell, Oregon",-122.7836822,43.9184592,Ford Institute for Community Building,53963
Grant Name,17201,Umatilla,"Hermiston, Oregon",-119.2894604,45.8404101,"Children, Youth and Families",12840
Grant Name,1680,Grant,"John Day, Oregon",-118.95301,44.4159883,Postsecondary Success,71071
Grant Name,580,Clackamas,"Johnson City, Oregon",-122.5806713,45.4049709,Visual Arts,58738
Grant Name,818,Benton,"Adair Village, Oregon",-123.2178759,44.6706762,Ford Institute for Community Building,31867
Grant Name,6094,Yamhill,"Sheridan, Oregon",-123.3948291,45.0992814,"Children, Youth and Families",79754
Grant Name,17271,Clackamas,"Canby, Oregon",-122.6921558,45.26220499999999,Postsecondary Success,57866
Grant Name,1063,Wallowa,"Joseph, Oregon",-117.2296127,45.3543187,Visual Arts,94256
Grant Name,4107,Douglas,"Reedsport, Oregon",-124.0967779,43.7023389,Ford Institute for Community Building,59540
Grant Name,1738,Linn,"Brownsville, Oregon",-122.9848108,44.39345710000001,"Children, Youth and Families",16593
Grant Name,2143,Columbia,"Vernonia, Oregon",-123.1977937,45.8586888,Postsecondary Success,87802
Grant Name,21,Gilliam,"Lonerock, Oregon",-119.8830749,45.08902519999999,Visual Arts,51482
Grant Name,702,Umatilla,"Echo, Oregon",-119.195567,45.7423537,Ford Institute for Community Building,24019
